TIME,ID,latitude,longitude,altitude,#WiFi networks,SSID1,MAC1,Frequency1,Signal1,SSID2,MAC2,Frequency2,Signal2,SSID3,MAC3,Frequency3,Signal3,SSID4,MAC4,Frequency4,Signal4,SSID5,MAC5,Frequency5,Signal5,SSID6,MAC6,Frequency6,Signal6,SSID7,MAC7,Frequency7,Signal7,SSID8,MAC8,Frequency8,Signal8,SSID9,MAC9,Frequency9,Signal9,SSID10,MAC10,Frequency10,Signal10
2017-10-31 12:23:25,model=SM-G950F_device=dreamlte,32.10313302795498,35.20951560010722,702.2631528246692,3,IT-MNG,1c:b9:c4:15:ed:b8,1,-81,,8c:0c:90:ae:16:83,11,-86,Ariel_University,1c:b9:c4:16:ed:3c,44,-91
2017-10-31 12:23:25,model=SM-G950F_device=dreamlte,32.103549749897724,35.209183904621554,695.6948276517195,8,IT-MNG,1c:b9:c4:15:ed:b8,1,-73,IT-MNG,1c:b9:c4:15:ed:bc,48,-79,,1c:b9:c4:96:ed:47,36,-80,Ariel_University,1c:b9:c4:16:e5:a8,6,-85,,8c:0c:90:6e:16:88,11,-87,,1c:b9:c4:95:1c:b7,36,-88,Ariel_University,1c:b9:c4:16:28:ec,36,-88,,1c:b9:c4:96:28:e7,36,-89
2017-10-31 12:23:25,model=SM-G950F_device=dreamlte,32.10398062298615,35.20913421028101,700.9789152054016,7,Ariel_University,1c:b9:c4:16:ed:48,6,-57,IT-MNG,1c:b9:c4:15:ed:bc,48,-65,,1c:b9:c4:95:ed:b7,48,-65,Ariel_University,1c:b9:c4:16:ed:4c,36,-68,IT-MNG,1c:b9:c4:15:ed:b8,1,-68,Ariel_University,1c:b9:c4:16:28:e8,1,-88,Ariel_University,8c:0c:90:2e:16:88,11,-89
2017-10-31 12:23:25,model=SM-G950F_device=dreamlte,32.1034255,35.20978696,702.0,1,IT-MNG,1c:b9:c4:15:ed:bc,48,-59
2017-10-31 12:23:25,model=SM-G950F_device=dreamlte,32.10382299776282,35.20962658515047,699.2727264593732,2,Ariel_University,8c:0c:90:2e:16:88,11,-80,,8c:0c:90:6e:16:88,11,-82
2017-10-31 12:23:25,model=SM-G950F_device=dreamlte,32.10370157178779,35.20888411397486,704.1583149854903,6,,8c:0c:90:ae:16:83,11,-69,Ariel_University,1c:b9:c4:15:1c:b8,1,-70,Ariel_University,8c:0c:90:2e:16:88,11,-70,,8c:0c:90:6e:16:88,11,-71,Ariel_University,1c:b9:c4:15:1c:bc,36,-77,DIRECT-61-HP DeskJet 3630 series,30:e1:71:0d:e0:63,6,-80
2017-10-31 12:23:25,model=SM-G950F_device=dreamlte,32.10342863782331,35.209787705964615,704.0335158415602,4,DIRECT-61-HP DeskJet 3630 series,30:e1:71:0d:e0:63,6,-69,,1c:b9:c4:95:1c:b7,36,-82,Ariel_University,1c:b9:c4:14:2b:8c,44,-88,Onicom,c0:4a:00:71:ee:ee,9,-90
2017-10-31 12:23:25,model=SM-G950F_device=dreamlte,32.103619070466436,35.208915138272,692.3646038730334,5,DIRECT-61-HP DeskJet 3630 series,30:e1:71:0d:e0:63,6,-62,,8c:0c:90:6e:16:88,11,-65,Ariel_University,1c:b9:c4:16:e5:ac,36,-83,Ariel_University,1c:b9:c4:16:28:ec,36,-83,,1c:b9:c4:96:28:e7,36,-84
2017-10-31 12:23:25,model=SM-G950F_device=dreamlte,32.103726713119556,35.20956269571841,700.1034854794966,2,Ariel_University,8c:0c:90:2e:16:88,11,-64,,1c:b9:c4:96:e5:a7,36,-83
2017-10-31 12:23:25,model=SM-G950F_device=dreamlte,32.10336788667826,35.209792252151274,703.4784394602093,6,,8c:0c:90:ae:16:83,11,-64,Ariel_University,1c:b9:c4:16:e5:a8,6,-78,Ariel_University,1c:b9:c4:14:2b:8c,44,-82,,1c:b9:c4:94:2b:87,44,-83,,1c:b9:c4:96:f1:57,52,-87,Ariel_University,1c:b9:c4:16:f1:5c,52,-87
2017-10-31 12:23:25,model=SM-G950F_device=dreamlte,32.10304048050265,35.208710329007864,703.5756049939442,2,2.4V1,40:a5:ef:7a:17:f2,1,-88,__ery,14:ae:db:58:0d:6d,11,-89
2017-10-31 12:23:25,model=SM-G950F_device=dreamlte,32.10382232782007,35.208915622515015,702.8325607255063,4,Ariel_University,1c:b9:c4:16:28:e8,1,-79,Ariel_University,ec:8c:a2:26:d3:68,11,-87,Ariel_University,1c:b9:c4:16:12:e8,1,-90,Ariel_University,1c:b9:c4:16:13:08,11,-90
2017-10-31 12:23:25,model=SM-G950F_device=dreamlte,32.103497258465474,35.208137572229795,694.4310558513797,3,Ariel_University,8c:0c:90:2e:16:88,11,-58,,8c:0c:90:6e:16:88,11,-60,AUC_54_R,00:25:86:cc:00:f8,5,-91
2017-10-31 12:23:25,model=SM-G950F_device=dreamlte,32.10380741272702,35.20813891835513,697.1031302718592,3,,8c:0c:90:ae:16:83,11,-59,AUC_54_R,00:25:86:cc:00:f8,5,-84,KCG_54,00:25:86:cc:07:b2,2,-86
2017-10-31 12:23:25,model=SM-G950F_device=dreamlte,32.10402614784374,35.20899315488725,700.93011394951,2,TamiRacheli,78:11:dc:1a:cf:d0,8,-89,,00:02:6f:b8:c4:1a,11,-91
2017-10-31 12:23:25,model=SM-G950F_device=dreamlte,32.1045243611746,35.208954802493324,691.3047880723128,3,Ariel_University,1c:b9:c4:16:1d:7c,44,-61,Ariel_University,1c:b9:c4:15:fd:4c,36,-77,Ariel_University,ec:8c:a2:26:d2:c8,11,-89
2017-10-31 12:23:25,model=SM-G950F_device=dreamlte,32.10397713743771,35.209183865787686,696.8793840807842,2,Bezeq-n_325E,10:0d:7f:99:32:5e,11,-75,Ariel_University,ec:8c:a2:26:d3:68,11,-78
2017-10-31 12:23:25,model=SM-G950F_device=dreamlte,32.10435234575988,35.2091524884496,696.8937228224052,3,Ariel_University,ec:8c:a2:26:d3:68,11,-73,Ariel_University,24:c9:a1:35:a5:e8,6,-89,Ariel_University,1c:b9:c4:16:05:38,11,-90
2017-10-31 12:23:25,model=SM-G950F_device=dreamlte,32.10442382077426,35.20952252929159,701.8555506557761,6,Ariel_University,1c:b9:c4:16:05:38,11,-81,Ariel_University,1c:b9:c4:16:cc:dc,36,-82,,1c:b9:c4:96:cc:d7,36,-84,sinusafe,b2:6c:ac:a0:3d:eb,3,-85,Ariel_University,1c:b9:c4:15:23:58,6,-85,,00:02:6f:8e:64:67,1,-88
2017-10-31 12:23:25,model=SM-G950F_device=dreamlte,32.10448928045821,35.20955996515963,695.3382089105688,4,,00:27:22:f3:bb:2b,6,-67,giftwizard,a2:6c:ac:a0:3d:eb,3,-86,Ariel_University,1c:b9:c4:15:23:5c,36,-88,mati-sh1,c4:12:f5:fd:6a:74,9,-90
2017-10-31 12:23:25,model=SM-G950F_device=dreamlte,32.10417552796973,35.209183740689745,702.4139542077785,5,,00:27:22:f3:bb:2b,6,-60,,00:02:6f:8e:64:67,1,-75,Guest,90:6c:ac:a0:3d:eb,3,-85,Ariel_University,8c:0c:90:2f:ca:18,1,-85,,1c:b9:c4:95:23:57,36,-89
2017-10-31 12:23:25,model=SM-G950F_device=dreamlte,32.10451973732495,35.209803775129444,688.7013303270004,2,Neuropplied,a2:6c:ac:9f:fb:1f,1,-84,shapedo,c2:6c:ac:9f:fb:1f,1,-88
2017-10-31 12:23:25,model=SM-G950F_device=dreamlte,32.10415672702979,35.209216425740294,711.4087491649028,2,,00:02:6f:b8:c4:1a,11,-84,CliClap,90:6c:ac:9f:f1:c5,2,-86
2017-10-31 12:23:25,model=SM-G950F_device=dreamlte,32.10416902910334,35.20908512050664,691.5266075091407,1,Ariel_University,1c:b9:c4:16:cc:d8,1,-87
2017-10-31 12:23:25,model=SM-G950F_device=dreamlte,32.103798027565304,35.209505103309105,703.9105430946584,2,DIRECT-13-HP DeskJet 3630 series,a0:8c:fd:0a:24:56,6,-76,Ariel_University,ec:8c:a2:26:d3:c8,6,-89
2017-10-31 12:23:25,model=SM-G950F_device=dreamlte,32.10382261850408,35.20896901702802,689.9807193144132,4,Ariel_University,ec:8c:a2:26:d3:68,11,-59,,1c:b9:c4:95:fd:47,36,-78,Ariel_University,ec:8c:a2:26:b0:e8,6,-83,Ariel_University,f0:b0:52:3e:d6:f8,11,-90
2017-10-31 12:23:25,model=SM-G950F_device=dreamlte,32.10438111156907,35.20952190863054,701.2852261351663,4,Ariel_University,1c:b9:c4:16:cc:dc,36,-70,Ariel_University,1c:b9:c4:16:cc:d8,1,-75,,18:d6:c7:ad:25:1a,13,-88,ahmad,90:f6:52:05:24:78,9,-92
2017-10-31 12:23:25,model=SM-G950F_device=dreamlte,32.10442437218548,35.20833037653788,696.2434613032128,2,,1c:b9:c4:96:1d:77,44,-65,,00:27:22:f3:e0:83,11,-89
2017-10-31 12:23:25,model=SM-G950F_device=dreamlte,32.10368161528288,35.20822124313853,693.3485086602998,1,AUC_54_R,00:25:86:cc:00:f8,5,-77
2017-10-31 12:23:25,model=SM-G950F_device=dreamlte,32.10374774440442,35.209099441105295,704.0534474150971,2,,8c:0c:90:ae:16:83,11,-54,DIRECT-32-HP DeskJet 3630 series,fc:3f:db:9c:43:33,6,-89
2017-10-31 12:23:25,model=SM-G950F_device=dreamlte,32.10258798763252,35.20759021123835,693.1085203108703,1,__ery,14:ae:db:58:0d:6d,11,-83
2017-10-31 12:23:25,model=SM-G950F_device=dreamlte,32.10312484768152,35.20955877742162,702.8816531645148,5,,1c:b9:c4:96:f1:57,52,-75,Ariel_University,1c:b9:c4:16:f1:5c,52,-75,Ariel_University,1c:b9:c4:16:e5:ac,36,-77,,1c:b9:c4:96:e5:a7,36,-78,Ariel_University,1c:b9:c4:16:f1:58,6,-88
